Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
23246651,إني أتقادم: مسارات شخصية في أحراش القاهرة,هاني درويش,"درويش, هاني",,"=""""","=""9789776306530""",0,4.05,الكتب خان للنشر,Paperback,176,2014,2014,,2015/01/26,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
23296323,الجنتلمان يفضل القضايا الخاسرة,أحمد مجدي همام,"همام, أحمد مجدي",,"=""9789977510""","=""813,01""",4,3.10,روافد للنشر والتوزيع,,104,2014,2014,,2015/01/26,,,read,,,,1,,,0,,,,,
13156478,يونس في أحشاء الحوت,Yasser Abdellatif,"Abdellatif, Yasser",ياسر عبد اللطيف,"=""""","=""9789776306073""",4,3.46,الكتب خان للنشر والتوزيع,Paperback,103,2011,2011,2015/01/26,2015/01/25,,,read,قصّاص بدرجة معلم,,,1,,,0,,,,,
11989,The Plague,Albert Camus,"Camus, Albert","Stuart Gilbert, Ersílio Cardoso, Valery Rumjanek, Susana Cordero Espinosa","=""""","=""""",0,4.02,Vintage International,Paperback,308,1991,1947,,2015/01/25,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
6081962,لزوم ما يلزم,نجيب سرور,"سرور, نجيب",,"=""""","=""""",0,3.99,مكتبة مدبولي,Paperback,123,2001,1964,,2015/01/25,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
6186452,كافكا على الشاطئ,Haruki Murakami,"Murakami, Haruki","هاروكي موراكامي, Eman Herzallah, سامر أبو هواش","=""""","=""9789953682836""",0,4.13,المركز الثقافي العربي - كلمة,Hardcover,672,2007,2002,,2015/01/09,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
16081112,آرثر رامبو - الأعمال الشعرية الكاملة,Arthur Rimbaud,"Rimbaud, Arthur",رفعت سلام,"=""""","=""9789772072750""",5,4.42,الهيئة المصرية العامة للكتاب,Paperback,652,2012,1870,,2015/01/09,favorites,favorites (#12),read,,,,1,,,0,,,,,
13568623,من التاريخ السري لنعمان عبد الحافظ,محمد مستجاب,"مستجاب, محمد",,"=""""","=""9789772070510""",5,3.56,الهيئة المصرية العامة للكتاب,Paperback,95,2011,2011,,2015/01/09,favorites,favorites (#10),read,,,,1,,,0,,,,,
3657728,الكتابات الكاملة,يحيى الطاهر عبد الله,"الله, يحيى الطاهر عبد",,"=""9779320558""","=""""",5,4.10,دار المستقبل العربي,Paperback,500,2006,1994,,2015/01/09,favorites,favorites (#9),read,,,,1,,,0,,,,,
12439715,قصص قصيرة حمقاء,محمد مستجاب,"مستجاب, محمد",,"=""9770162000""","=""""",5,3.14,الهيئة المصرية العامة للكتاب,Paperback,150,,,,2015/01/09,,,read,,,,1,,,0,,,,,
